Race_Distance,Level,Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Ultra Marathon,1,3,REST,Long Run 1,Speed Play Run 3,Long Run 2,REST,Long Run 10,B2B Long Run 2
Ultra Marathon,1,4,REST,Recovery Run 5,Recovery Run 3,Recovery Run 7,REST,Long Run 5,Active Recovery
Ultra Marathon,1,5,REST,Long Run 2,Hill Repetition Run 3,Long Run 2,REST,Long Run 12,B2B Long Run 3
Ultra Marathon,1,6,REST,Long Run 2,Speed Play Run 4,Long Run 2,REST,Long Run 12,B2B Long Run 3
Ultra Marathon,1,7,REST,Long Run 2,Hill Repetition Run 4,Long Run 2,REST,Long Run 14,B2B Long Run 4
Ultra Marathon,1,8,REST,Recovery Run 7,Recovery Run 3,Recovery Run 7,REST,Long Run 7,Active Recovery
Ultra Marathon,1,9,REST,Long Run 3,Speed Play Run 4,Long Run 3,REST,Long Run 16,B2B Long Run 5
Ultra Marathon,1,10,REST,Long Run 5,Hill Repetition Run 4,Long Run 3,REST,Long Run 7,B2B Long Run 6
Ultra Marathon,1,11,REST,Long Run 3,Speed Play Run 4,Long Run 3,REST,Long Run 17,B2B Long Run 5
Ultra Marathon,1,12,REST,Long Run 1,Recovery Run 5,Long Run 1,REST,Long Run 9,Active Recovery
Ultra Marathon,1,13,REST,Long Run 5,Hill Repetition Run 4,Long Run 3,REST,Long Run 16,B2B Long Run 6
Ultra Marathon,1,14,REST,Long Run 7,Speed Play Run 4,Long Run 5,REST,Long Run 9,B2B Long Run 7
Ultra Marathon,1,15,REST,Long Run 5,Hill Repetition Run 5,Long Run 3,REST,Long Run 18,B2B Long Run 6
Ultra Marathon,1,16,REST,Long Run 2,Recovery Run 5,Long Run 2,REST,Long Run 9,Active Recovery
Ultra Marathon,1,17,REST,Long Run 5,Recovery Run 7,Long Run 3,REST,Long Run 15,B2B Long Run 8
Ultra Marathon,1,18,REST,Long Run 7,Long Run 3,Long Run 5,REST,Long Run 17,B2B Long Run 5
Ultra Marathon,1,19,REST,Long Run 3,Recovery Run 5,Long Run 3,REST,Long Run 9,Active Recovery
Ultra Marathon,1,20,REST,Long Run 7,Recovery Run 5,Long Run 1,REST,Long Run 19,B2B Long Run 1
Ultra Marathon,1,21,REST,Long Run 9,Long Run 3,Long Run 5,REST,Long Run 11,B2B Long Run 7
Ultra Marathon,1,22,REST,Long Run 5,Long Run 1,Long Run 3,REST,Long Run 13,B2B Long Run 1
Ultra Marathon,1,23,REST,Long Run 3,Recovery Run 5,Long Run 3,REST,Long Run 5,B2B Long Run 1
Ultra Marathon,1,24,REST,Recovery Run 5,REST,Foundation Run 3,REST,Ultra Marathon,
