Race_Distance,Level,Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
10k,3,1,Foundation Run 6,Fast Finish Run 4,Foundation Run 6,Foundation Run 6,Speed Play Run 6,Foundation Run 6,Long Run 2
10k,3,1,,Foundation Run 3,,,,,
10k,3,2,Foundation Run 6,Fast Finish Run 5,Foundation Run 6,Foundation Run 6,Speed Play Run 7,Foundation Run 6,Long Run 3
10k,3,2,,Foundation Run 3,,Foundation Run 3,,,
10k,3,3,REST,Fast Finish Run 4,Foundation Run 6,Foundation Run 6,Speed Play Run 6,Foundation Run 5,Long Run 4
10k,3,3,,Foundation Run 5,,,,,
10k,3,4,Foundation Run 6,Tempo Run 2,Foundation Run 6,Foundation Run 6,Hill Repetition Run 4,Recovery Run 6,Long Run with Fast Finish 1
10k,3,4,,Foundation Run 3,,Foundation Run 3,,Foundation Run 3,
10k,3,5,Recovery Run 6,Tempo Run 3,Foundation Run 6,Foundation Run 6,Hill Repetition Run 5,Recovery Run 6,Long Run with Fast Finish 2
10k,3,5,,Recovery Run 4,,Foundation Run 4,,Foundation Run 4,
10k,3,6,REST,Tempo Run 2,Foundation Run 6,Foundation Run 6,Hill Repetition Run 3,Recovery Run 6,Fast Finish Run 9
10k,3,6,,Recovery Run 4,,Foundation Run 4,,Foundation Run 4,
10k,3,7,Foundation Run 6,Speed Play Run 10,Foundation Run 6,Foundation Run 6,Short Interval Run 7,Recovery Run 6,Long Run with Speed Play 1
10k,3,7,,Recovery Run 5,,Foundation Run 5,,Foundation Run 5,
10k,3,8,Recovery Run 6,Speed Play Run 12,Foundation Run 6,Foundation Run 6,Short Interval Run 8,Recovery Run 6,Long Run with Speed Play 2
10k,3,8,,Recovery Run 6,,Foundation Run 6,,Foundation Run 6,
10k,3,9,REST,Long Interval Run 4,Foundation Run 5,Foundation Run 5,Speed Play Run 8,Recovery Run 5,Fast Finish Run 10
10k,3,9,,Recovery Run 5,,Foundation Run 5,,Foundation Run 5,
10k,3,10,Foundation Run 6,Long Interval Run 7,Foundation Run 6,Foundation Run 6,Mixed Interval Run 4,Recovery Run 6,Long Run with Speed Play 2
10k,3,10,,Recovery Run 6,,Foundation Run 6,,Foundation Run 6,
10k,3,11,Recovery Run 5,Long Interval Run 5,Foundation Run 5,Foundation Run 5,Mixed Interval Run 3,Foundation Run 9,Long Run with Speed Play 1
10k,3,11,,Recovery Run 5,,Foundation Run 5,,,
10k,3,12,REST,Speed Play Run 5,Foundation Run 4,Foundation Run 3,Fast Finish Run 3,Recovery Run 2,10K Race
